Q36b,Q37b,Q38b,QRID,Q39b,Q5,Q6,country,Q15a,Q15b
No,No,,1014096,Yes,Favor,Refused (DO NOT READ),Austria,Don't know (DO NOT READ),
Yes,Yes,,1014139,Yes,Favor,Legal in most cases,Austria,A few times a year,
Yes,Yes,Yes,1014147,Yes,Favor,Legal in most cases,Austria,Never,
Yes,,Yes,1014177,Yes,Oppose,Illegal in all cases,Austria,,Once a week for Friday Prayer
Yes,Yes,,1014186,Yes,Favor,Don't know (DO NOT READ),Austria,Once a week,
Yes,Yes,,1014191,Yes,Favor,Illegal in all cases,Austria,Once a week,
Yes,Yes,,1014195,Yes,Favor,Illegal in most cases,Austria,Never,
Yes,Yes,Yes,1014200,Yes,Favor,Legal in all cases,Austria,Never,
Yes,Yes,,1014221,Yes,Favor,Legal in most cases,Austria,A few times a year,
No,Yes,Yes,1014252,Yes,Favor,Legal in most cases,Austria,Never,
Yes,Yes,Yes,1014257,Yes,Favor,Legal in most cases,Austria,Never,
Yes,Yes,,1014270,Yes,Oppose,Legal in most cases,Austria,Once or twice a month,
Other / Both / Neither / Depends (DO NOT READ),Other / Both / Neither / Depends (DO NOT READ),,1014296,Yes,Oppose,Illegal in most cases,Austria,A few times a year,
Yes,Yes,Yes,1014335,Yes,Favor,Legal in most cases,Austria,Never,
Yes,Yes,,1014344,Yes,Favor,Don't know (DO NOT READ),Austria,Seldom,
Other / Both / Neither / Depends (DO NOT READ),Don't know (DO NOT READ),,1014355,Yes,Favor,Legal in all cases,Austria,A few times a year,
Yes,Yes,,1014363,Yes,Favor,Legal in most cases,Austria,Seldom,
Yes,Yes,,1014381,Yes,Favor,Legal in most cases,Austria,A few times a year,
Other / Both / Neither / Depends (DO NOT READ),Other / Both / Neither / Depends (DO NOT READ),,1014394,Yes,Strongly favor,Legal in most cases,Austria,A few times a year,
Yes,No,,1014414,Yes,Favor,Legal in most cases,Austria,Seldom,
Yes,Yes,,1014415,Yes,Oppose,Illegal in most cases,Austria,Once or twice a month,
